Quantity,Supplier Part Number,Manufacturer Part Number,Description,Designator,Value,Footprint
5,311-470LDCT-ND,AC0603FR-07470RL,RES SMD 470 OHM 1% 1/10W 0603,"R2, R3, R4, R48, R49",470,0603-RES
9,311-0.0ERCT-ND,RC1206JR-070RL,RES 0 OHM JUMPER 1/4W 1206,"R47, R93A, R93B, R93C, R93D, R94A, R94B, R94C, R94D",DNP,1206-RES
10,311-100KLDCT-ND,AC0603FR-07100KL,RES SMD 100K OHM 1% 1/10W 0603,"R83, R84, R85, R86, R87, R88, R89, R90, R91, R92",100k,0603-RES
10,P10.0KHCT-ND,ERJ-3EKF1002V,RES SMD 10K OHM 1% 1/10W 0603,"R8, R38, R39, R40, R41, R42, R43, R44, R45, R99",10k,0603-RES
18,YAG3561DKR-ND,AC0603FR-07100RL,RES SMD 100 OHM 1% 1/10W 0603,"R5, R6, R7, R11, R12, R13, R14, R15, R16, R21, R60A, R60B, R61A, R61B, R62A, R62B, R63A, R63B",100,0603-RES
51,311-0.0ERCT-ND,RC1206JR-070RL,RES 0 OHM JUMPER 1/4W 1206,"R1, R9, R10, R17A, R17B, R17C, R17D, R18, R19, R20, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R46, R57, R64, R65, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R95A, R95B, R95C, R95D, R96A, R96B, R96C, R96D",0R,1206-RES
1,RJSAE538004-ND,RJSAE538004,CONN MOD JACK 8P8C R/A SHIELDED,CON1,,RJSAE538004
13,36-9900-ND,9900,MACH SCREW PAN PHILLIPS #4-40,"SCREW1, SCREW2, SCREW3, SCREW4, SCREW5, SCREW6, SCREW7, SCREW8, SCREW9, SCREW10, SCREW11, SCREW12, SCREW13",,
4,277-1667-ND,1935161,TERM BLK 2POS SIDE ENTRY 5MM PCB,"CON2, CON3, CON4, CON5",,1935161
1,555-1312-ND,SHHD003A0A4Z,DC DC CONVERTER 5V 15W,U14,,DCDC SHHD003A0A41-SRZ
1,SI4946CDY-T1-GE3DKR-ND,SI4946CDY-T1-GE3,MOSFET 2N-CH 60V 5.2A 8SO,Q3,,SOIC127P600X175-8N
4,1655-1701-1-ND,SMDA12C,TVS DIODE 12VWM 19VC 8-SO,"U35, U36, U37, U38",,SOIC127P600X175-8N
15,296-18593-1-ND,SN74LVC8T245PWR,IC TRANSLATION TXRX 5.5V 24TSSOP,"U5, U24A, U24B, U24C, U24D, U24E, U24F, U31A, U31B, U31C, U31D, U31E, U31F, U31G, U31H",,TSOP65P640X120-24N
13,36-1656-ND,1656,"HEX STANDOFF #4-40 BRASS 1/2""","STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4, STANDOFF5, STANDOFF6, STANDOFF7, STANDOFF8, STANDOFF9, STANDOFF10, STANDOFF11, STANDOFF12, STANDOFF13",,
12,TC4468COE-ND,TC4468COE,IC GATE DRVR LOW-SIDE 16SOIC,"U23A, U23B, U23C, U23D, U23E, U23F, U25A, U25B, U25C, U25D, U25E, U25F",,SOIC16_N - wide
4,A106145CT-ND,RCU-0C,PC TEST POINT NATURAL,"TP1, TP2, TP3, TP4",,RCU-0C
1,296-34943-1-ND,TPS22965DSGT,IC PWR SWITCH N-CHAN 1:1 8WSON,U30,,SON50P200X80_HS-9N
1,102-5885-ND,UJ2-BH-4-TH,CONN RCPT USB2.0 TYPEB 4POS R/A,CON13,,UJ2-BH-4-TH
